Clasificación,Equipo,Puntos,PJ,PG,PE,PP,GF,GC,DF
Óscar Rodríguez,51,32,16,40,35,29,3.600.000,2  4  0  2  -
Aitor Fernández,51,39,24,34,27,45,1.890.000,-  -  -  -  -
Raúl Guti,51,27,28,31,23,23,870.000,-  2  0  4  -
Budimir,50,29,34,34,16,23,2.860.000,2  4  3  1  -
Aïssa Mandi,50,50,35,50,15,50,1.320.000,-  6  2  -  -
Guevara,50,33,28,31,22,37,1.170.000,-  -  -  -  -
Munir El Haddadi,50,38,31,52,19,27,1.150.000,4  -  8  2  -
Juan Cruz,50,31,15,21,35,39,1.060.000,5  0  2  5  -
Clerc,50,26,30,38,20,18,960.000,-  2  -  -  -
Diego González,50,28,24,27,26,29,920.000,-  -  -  5  -
Alberto Perea,49,31,22,28,27,34,930.000,2  -  4  -  -
Jorge Miramón,49,26,32,32,17,19,770.000,2  2  6  2  -
Jeison Murillo,48,34,23,33,25,36,1.330.000,-  -  -  -  -
Rober Pier,48,28,24,34,24,24,950.000,2  8  5  2  -
Abdón Prats,48,30,19,24,29,36,720.000,-  -  2  -  -
Pedri,47,59,13,43,34,68,13.980.000,10  7  9  3  -
Isco,47,52,31,78,16,32,1.450.000,-  -  -  -  -
Gonzalo Verdú,47,34,24,30,23,38,1.330.000,1  -  -  -  -
Melendo,47,34,20,25,27,45,850.000,-  0  -  -  -
Pezzella,46,35,29,41,17,28,970.000,4  -  -  -  -
Florentino Luís,46,33,17,28,29,36,970.000,-  2  -  2  -
Zubeldia,46,29,19,38,27,25,850.000,-  1  -  0  -
Gudelj,46,38,23,33,23,46,650.000,-  -  3  6  -
Yangel Herrera,45,32,33,47,12,17,1.860.000,4  2  0  4  -
Quini,45,20,20,22,25,19,710.000,2  1  3  4  -
Sergio Escudero,45,25,24,27,21,23,670.000,2  -  -  -  -
Abde Ezzalzouli,44,44,16,40,28,47,3.380.000,-  -  -  -  -
Dani Cárdenas,44,31,24,40,20,25,1.170.000,3  3  8  4  -
Raúl Torrente,44,29,24,30,20,29,1.000.000,4  3  6  -1  -
Mamardashvili,43,43,30,60,13,26,1.700.000,2  -1  8  -  -
Bacca,43,31,18,30,25,31,1.330.000,-  -  -  -  -
Pere Pons,43,24,20,22,23,26,970.000,1  -1  -  2  -
